Brand,Result,Interest,Limit,Service,Convenience,Trust,Speed,Major,Ads
Acom,0,1,1,1,1,1,1,1,4
Acom,0,1,7,1,1,1,1,7,7
Acom,0,1,7,3,1,3,2,6,7
Acom,0,4,4,4,4,3,4,5,4
Acom,0,5,5,5,3,5,4,7,6
Acom,0,1,7,1,7,1,3,7,7
Acom,1,4,4,4,4,4,4,7,7
Acom,0,4,4,4,4,4,4,4,7
Acom,1,3,3,2,2,2,2,4,3
Acom,0,1,1,1,1,1,1,7,7
Acom,1,4,4,4,4,4,4,4,5
Acom,0,4,5,5,5,5,5,5,5
Acom,0,4,4,4,7,7,7,7,7
Acom,1,4,4,4,6,5,4,5,5
Acom,0,4,4,4,4,4,4,4,4
Acom,0,3,3,4,4,2,2,2,2
Acom,0,1,1,1,1,1,1,2,2
Acom,0,1,1,1,1,1,1,1,1
Acom,0,4,4,4,4,4,4,4,4
Acom,0,3,2,2,1,3,3,7,5
Acom,1,3,3,3,3,3,3,3,3
Acom,0,1,5,4,4,1,4,7,7
Acom,0,1,1,1,1,1,1,1,1
Acom,0,7,4,4,4,4,4,4,4
Acom,0,1,1,3,2,1,3,5,3
Acom,0,2,4,5,3,3,5,7,7
Acom,0,1,1,3,2,1,3,3,4
Acom,0,4,4,4,4,4,4,4,4
Acom,0,1,7,1,1,1,1,7,7
Acom,0,4,4,4,4,4,4,4,4
Acom,1,3,3,4,4,4,4,5,5
Acom,0,1,1,1,1,1,1,1,1
Acom,0,4,4,4,4,4,4,4,4
Acom,0,3,4,3,7,4,5,7,7
Acom,0,4,4,4,4,4,4,4,2
Acom,0,1,4,4,4,5,4,6,6
Acom,0,4,2,2,2,2,2,2,5
Acom,0,4,4,4,4,4,4,4,7
Acom,0,1,1,1,1,1,1,1,1
Acom,0,4,4,4,4,4,4,4,4
Acom,0,7,7,7,7,1,1,1,1
Acom,0,2,4,4,6,5,4,5,5
Acom,0,4,4,4,4,4,4,4,4
Acom,0,1,1,1,4,1,2,7,7
Acom,1,4,3,5,5,2,5,7,7
Acom,1,4,4,4,5,5,5,6,6
Acom,1,5,6,4,4,6,6,4,5
Acom,0,4,4,4,4,4,4,4,5
Acom,1,4,4,4,2,4,4,5,3
Acom,0,3,3,3,3,3,3,3,3
Acom,0,1,1,1,7,4,4,4,7
Acom,0,2,2,2,2,2,2,2,3
Acom,0,3,3,4,4,3,4,5,5
Acom,1,6,7,5,5,7,3,5,7
Acom,1,4,4,4,4,4,4,4,4
Acom,0,4,4,4,4,4,4,4,4
Acom,1,1,1,1,1,1,1,1,1
Acom,0,1,4,2,4,3,4,5,6
Acom,0,3,3,3,3,3,3,4,5
Acom,0,4,4,4,4,5,4,7,7
Acom,1,1,1,3,5,7,4,7,7
Acom,0,2,2,2,2,1,1,1,5
Acom,1,3,5,2,3,6,4,7,6
Acom,0,1,4,5,6,2,6,7,7
Acom,0,4,4,4,4,4,5,5,5
Acom,0,4,4,4,4,4,4,4,7
Acom,0,3,3,5,5,4,4,6,7
Acom,0,1,1,1,3,2,2,7,7
Acom,1,4,4,4,4,4,4,7,7
Acom,0,4,4,4,4,4,4,4,4
Acom,1,5,4,5,6,4,4,5,6
Acom,0,1,1,1,1,4,3,3,7
Acom,0,4,4,4,4,4,4,6,5
Acom,0,1,4,4,4,3,4,6,5
Acom,0,3,3,3,4,3,4,4,2
Acom,0,1,1,1,1,1,1,1,1
Acom,0,4,4,4,4,5,4,6,7
Acom,0,4,4,4,4,4,4,4,4
Acom,0,1,1,1,1,1,1,1,1
Acom,0,4,4,2,7,5,4,7,5
Acom,0,2,3,2,3,2,4,5,4
